Batch,Cost
322,0.19229811266807423
323,0.19849378010920304
324,0.18300054623763046
325,0.18827947420126012
326,0.1283630076521307
327,0.18701148919340504
328,0.15949626036634423
329,0.1586096972899836
330,0.16051239174244303
331,0.1880572617368479
332,0.1603985656796563
333,0.15799458859045856
334,0.16739567775091246
335,0.1350886493466548
336,0.14990690155451247
337,0.1531459524844199
338,0.18168696834042644
339,0.17882988234055686
340,0.19872419421799375
341,0.12380705461129163
342,0.14859451192652604
343,0.1504735874148335
344,0.13052053009691358
345,0.16272285599097136
346,0.2217577252492313
347,0.14053465112000219
348,0.15794386441921676
349,0.15930795962508376
350,0.17106255201152645
351,0.10862701259777051
352,0.14634115853816415
353,0.2086909052982567
354,0.13875108773960979
355,0.17102760950297619
356,0.14641895257700427
357,0.09705545560361976
358,0.10723630249734008
359,0.18680562267807158
360,0.14131618603548854
361,0.12577065434555051
362,0.14272855519746605
363,0.13875409516489726
364,0.1409992308542755
365,0.08908213728444188
366,0.1178542237018703
367,0.13550332774001203
368,0.14773931360963258
369,0.12269044896027753
370,0.1182348929690489
371,0.1282711320332378
372,0.10551821757144053
373,0.0958694451853677
374,0.11716106750172027
375,0.11619308604771557
376,0.17380859686961553
377,0.0967387781546277
378,0.12586440677400465
379,0.1353669281023911
380,0.14022285236299734
381,0.162418556918498
382,0.12547829482851452
383,0.13177248927314036
384,0.11759622841020315
385,0.13153913269456222
386,0.14787182196260928
387,0.1439432546071276
388,0.12789237885767965
389,0.11542478388554347
390,0.12752843844401832
391,0.1529222582785205
392,0.13066156259487696
393,0.12313387141986758
394,0.12682930200855183
395,0.11253348227468114
396,0.13555709507835612
397,0.12386916176903405
398,0.13804207614984354
399,0.1480270662093008
400,0.1545582148310779
401,0.10069603323967698
402,0.14354246670969048
403,0.1327328746142753
404,0.18322271291527423
405,0.12477118411514983
406,0.14369051537569835
407,0.13387340815288118
408,0.10275210468730911
409,0.08493771783245174
410,0.14806750131549473
411,0.11228790356854443
412,0.13787870015933565
413,0.12763081372202215
414,0.1172550151627533
415,0.10710991676467196
416,0.11984257508921398
417,0.208955350326102
418,0.18275098004016385
419,0.09652415791639386
420,0.09757588752295793
421,0.1864946825215773
422,0.12420674177283038
423,0.122223818681712
424,0.10503258820324851
425,0.10530585830102102
426,0.16134269972588036
427,0.08142780106298854
428,0.1416518550196029
429,0.16033911459713587
430,0.12025907124442678
431,0.12021665140034238
432,0.11632952718639097
433,0.19067834220278482
434,0.14314608595999037
435,0.13436427250444702
436,0.12353644582761049
437,0.14611805085398655
438,0.10330118892154211
439,0.11843015243084247
440,0.10187423880151215
441,0.15230990208448975
442,0.09052372226452626
443,0.13013411117941578
444,0.06883646397580287
445,0.15494990672153225
446,0.1451372156547284
447,0.1297705642958095
448,0.09921987476747746
449,0.11359804911911399
450,0.09936905675943793
451,0.12899865528444018
452,0.1566651545810614
453,0.11559715464860383
454,0.1459531144958772
455,0.10837910327016229
456,0.12718058388970352
457,0.18333053620403028
458,0.07524133872659791
459,0.126002583704766
460,0.13652887593070934
461,0.13470167062550106
462,0.1359331894075868
463,0.07769317988333835
464,0.13845609152269528
465,0.12211071344620505
466,0.10404842463907596
467,0.15362652115898734
468,0.09076426273956968
469,0.0793274848259211
470,0.07821009356478154
471,0.1249988804452283
472,0.11791024029542678
473,0.13496232126772878
474,0.1479330988600333
475,0.1346702981740142
476,0.1281467864435761
477,0.13710484383508137
478,0.11848959358824977
479,0.1465675704843251
480,0.0919974854910467
481,0.09517874335298704
482,0.10115380216823394
483,0.11745843500454413
484,0.11714356376383762
485,0.10526791172339944
486,0.10095564873491755
487,0.10327225772825441
488,0.1403950380653985
489,0.10376561797907458
490,0.08540642656970134
491,0.16140575231807777
492,0.1229532008446156
493,0.1261782155567518
494,0.13149791753891008
495,0.12327056896582914
496,0.12146964882031788
497,0.11674208013888389
498,0.14416137540060198
499,0.12071660874335345
500,0.1486998909039361
501,0.1320196517983985
502,0.10444348289888236
503,0.09729835443890776
504,0.10851447756859825
505,0.1036833635001675
506,0.13660879895804998
507,0.15634983997787003
508,0.12966965630191365
509,0.1456140558719875
510,0.10775213797712765
511,0.1447460715455427
512,0.09717929220070273
513,0.1181916046684443
514,0.12077952564207033
515,0.11139850231305641
516,0.14317840653049704
517,0.11360332339306708
518,0.12339145784832352
519,0.10688835536910263
520,0.1363529725320443
521,0.1312751707990504
522,0.19423771411615184
523,0.09405138450568547
524,0.1274800783994663
525,0.10975774430899021
526,0.13673953269439337
527,0.14083200694469084
528,0.12864004992150083
529,0.09477436351769536
530,0.11839351222595348
531,0.1303650694916433
532,0.1233872031498766
533,0.12093049050823865
534,0.11608531062854353
535,0.0914900471811455
536,0.11761088303316565
537,0.08801603869073558
538,0.15705020343655865
539,0.12007544837492795
540,0.10694308976870813
541,0.14114039608593354
542,0.12115780475102378
543,0.11907559037299385
